bench,watts,kwh,exit,error,cycles,instructions,r533f00,cache-references,cache-misses,seconds
fluidanimate,337.539189,0.000230,0,0,3813.413653,8365997870,9715751441,4679290997,2699154984,261114,3.818169329
fluidanimate,338.714865,0.000233,0,0,3813.413653,8365997870,9715751441,4679290997,2699154984,261114,3.818169329
fluidanimate,338.910811,0.000233,0,0,3813.413653,8365997870,9715751441,4679290997,2699154984,261114,3.818169329
fluidanimate,339.421622,0.000233,0,0,3813.413653,8365997870,9715751441,4679290997,2699154984,261114,3.818169329
fluidanimate,339.313514,0.000230,0,0,3813.413653,8365997870,9715751441,4679290997,2699154984,261114,3.818169329
fluidanimate,339.458108,0.000230,0,0,3813.413653,8365997870,9715751441,4679290997,2699154984,261114,3.818169329
fluidanimate,339.363514,0.000233,0,0,3813.413653,8365997870,9715751441,4679290997,2699154984,261114,3.818169329
fluidanimate,340.056757,0.000233,0,0,3813.413653,8365997870,9715751441,4679290997,2699154984,261114,3.818169329
fluidanimate,340.271622,0.000233,0,0,3813.413653,8365997870,9715751441,4679290997,2699154984,261114,3.818169329
fluidanimate,340.508108,0.000233,0,0,3813.413653,8365997870,9715751441,4679290997,2699154984,261114,3.818169329
fluidanimate,341.801316,0.000240,0,0,3857.369863,8484334954,9751138700,4693914954,2706945458,262237,3.862339681
fluidanimate,342.180000,0.000240,0,0,3857.369863,8484334954,9751138700,4693914954,2706945458,262237,3.862339681
fluidanimate,342.564000,0.000240,0,0,3857.369863,8484334954,9751138700,4693914954,2706945458,262237,3.862339681
fluidanimate,341.369333,0.000237,0,0,3857.369863,8484334954,9751138700,4693914954,2706945458,262237,3.862339681
fluidanimate,340.741333,0.000237,0,0,3857.369863,8484334954,9751138700,4693914954,2706945458,262237,3.862339681
fluidanimate,340.750667,0.000237,0,0,3857.369863,8484334954,9751138700,4693914954,2706945458,262237,3.862339681
fluidanimate,340.322368,0.000240,0,0,3857.369863,8484334954,9751138700,4693914954,2706945458,262237,3.862339681
fluidanimate,340.352632,0.000237,0,0,3857.369863,8484334954,9751138700,4693914954,2706945458,262237,3.862339681
fluidanimate,340.463158,0.000237,0,0,3857.369863,8484334954,9751138700,4693914954,2706945458,262237,3.862339681
fluidanimate,340.469737,0.000237,0,0,3857.369863,8484334954,9751138700,4693914954,2706945458,262237,3.862339681
freqmine,342.490476,0.000067,0,708370005556,23977.030677,52742291977,91391709981,3030964724,23995035166,56010538,24.002741913
freqmine,342.557143,0.000067,0,708370005556,23977.030677,52742291977,91391709981,3030964724,23995035166,56010538,24.002741913
freqmine,341.609524,0.000067,0,708370005556,23977.030677,52742291977,91391709981,3030964724,23995035166,56010538,24.002741913
freqmine,342.904762,0.000067,0,708370005556,23977.030677,52742291977,91391709981,3030964724,23995035166,56010538,24.002741913
freqmine,341.757143,0.000067,0,708370005556,23977.030677,52742291977,91391709981,3030964724,23995035166,56010538,24.002741913
freqmine,342.290476,0.000067,0,708370005556,23977.030677,52742291977,91391709981,3030964724,23995035166,56010538,24.002741913
freqmine,341.347619,0.000067,0,708370005556,23977.030677,52742291977,91391709981,3030964724,23995035166,56010538,24.002741913
freqmine,340.057143,0.000067,0,708370005556,23977.030677,52742291977,91391709981,3030964724,23995035166,56010538,24.002741913
freqmine,339.614286,0.000063,0,708370005556,23977.030677,52742291977,91391709981,3030964724,23995035166,56010538,24.002741913
