benchmark,time,kwh,watts,cycles,instructions,r533f00,cache-references,cache-misses
sleep2,1,0.0001,316.3,1049495,600275,1762,228356,9200
sleep5,4,0.0003,316.85,1079988,623924,1797,231786,9284
sleep10,9,0.0008,316.944444444,958646,621361,1799,234010,9649
sleep30,29,0.0025,317.65862069,1064135,586928,1773,243201,10542
sleep60,59,0.0052,318.952542373,1080888,637016,1801,232179,9260
blackscholes,439,0.0405,333.007061503,963681322941,759844691381,440277963193,165728320541,140040400
bodytrack,345,0.0325,339.41884058,733091005874,781067817081,405865777512,127287608572,245673468
facesim,0.0,0.0,0.0,16560559,14789833,1693208,4697405,74581
ferret,522,0.0507,350.532950192,1588471176139,1748909071671,508858865217,567858426857,100044775
fluidanimate,650,0.0608,337.591076923,1433302012584,1677896998422,1002609778300,484568539692,21997404
freqmine,849,0.0806,342.344051826,1848878873062,2450052339453,49431788,791028342362,66097064
raytrace,378,0.0358,341.426190476,834912012589,1204834722923,646652063937,244447040716,841572881
swaptions,580,0.054,335.989482759,1277170247920,1458456204847,613924489347,361402521432,150688646
vips,233,0.0219,338.053218884,506403393629,770985463673,204387614153,143861054265,203743614
x264,1548,0.1467,341.563242894,3410594106224,6982565468927,30060552,1555146595578,1413347127
sleep2,1,0.0001,325.0,1068673,628101,1790,238757,9261
sleep5,4,0.0004,327.375,1069525,606630,1774,256435,10316
sleep10,9,0.0008,326.233333333,1021646,626510,1721,247746,10388
sleep30,29,0.0026,323.475862069,1019901,649767,1785,237688,9336
sleep60,59,0.0052,321.937288136,1037259,618201,1769,229123,9201
blackscholes,437,0.0405,334.313501144,962242554271,759823452448,440248110213,159457388792,129664715
bodytrack,346,0.0323,336.672543353,733724456347,781057881137,405865621890,127240780364,193147096
facesim,0.0,0.0,0.0,16043941,14867195,1688548,4719060,73992
ferret,522,0.0503,347.481417625,1608827613673,1748979636562,508724194111,567547428624,101952537
fluidanimate,649,0.0609,337.980585516,1438777004290,1677905068279,1003486864457,484679953040,21736128
freqmine,848,0.0805,342.425707547,1843800403467,2450061993769,49425812,791415640031,66253490
raytrace,377,0.0358,341.849867374,831780621631,1204809370390,646658574964,245001617881,937017963
swaptions,578,0.0539,336.156747405,1274440983375,1458375779265,613619457154,362297763899,48489018
vips,235,0.0221,338.945106383,497932290315,770623602908,203161466196,144316491452,206477267
