benchmark,time,kwh,watts,cycles,instructions,r533f00,cache-references,cache-misses
401.bzip2,128,0.0122,344.70546875,281791843935,334037165433,55135028,109353158448,6449824
403.gcc,24,0.0023,344.941666667,55756198532,53584373848,711582609,18879864932,148541478
410.bwaves,1945,0.1874,347.310694087,4262034704051,3646640500289,1594645288567,796357328121,87942135
416.gamess,929,0.089,345.523466093,2041076144921,3728582377773,1379033822882,753895092234,986189093
429.mcf,950,0.0911,345.734421053,2133601745924,341359818176,4438075,126310506833,39094908
433.milc,580,0.0564,350.502413793,1279023778848,959773877806,848992567351,155381340552,27269864
434.zeusmp,919,0.088,345.151468988,2020311576311,2034710749793,1642533828154,417142382151,49884619
435.gromacs,911,0.0867,342.791108672,2008063064415,1951095560321,1576726410464,402150966254,61466369
436.cactusADM,1541,0.1476,345.209863725,3417336864461,2729591636870,2678951693167,724302055623,131333246
437.leslie3d,795,0.0767,347.578616352,1745081330348,2036301798539,1048813779555,371688652414,50022212
444.namd,722,0.0684,341.741966759,1590468352115,2284600649164,1678946131905,485219576729,28877844
445.gobmk,140,0.0133,342.847857143,309903244712,332302437568,1643158512,139101976304,1351930899
450.soplex,297,0.0288,349.392929293,657210143407,351483261343,129282473841,110245463622,41870133
453.povray,325,0.0309,343.544615385,719929824331,944365353454,326873409627,270260795589,2611403876
454.calculix,1182,0.1126,343.479441624,2604787381926,4262103687513,3489668613537,757101018425,232076080
456.hmmer,458,0.0437,343.883187773,1008591483651,1827056361249,93262608976,292669256716,30871062
458.sjeng,863,0.0821,342.845307068,1901740250233,2266870919778,2742589163,915217499998,1028564052
459.GemsFDTD,988,0.0955,348.551518219,2166909367885,1765471598125,1163434300961,305591873251,49920439
462.libquantum,889,0.0864,350.068278965,1936700598644,1647860083877,4466143127,654404087173,32922622
464.h264ref,963,0.0919,344.094288681,2101962870634,2415115134093,11021432441,461406504732,1626230319
465.tonto,1660,0.1579,342.899216867,3652222184961,3530154035579,1645278789128,879612041322,2622609907
470.lbm,718,0.0699,350.685376045,1586976505159,1235493502086,1141897581106,204839423498,24642265
471.omnetpp,529,0.0507,345.808695652,1192199178612,545958244810,54119752182,188340197816,1005288674
473.astar,400,0.0381,343.59575,880000986751,751948380134,183818579,368763065873,19662755
481.wrf,0.0,0.0,0.0,704291655,894583384,73955407,206808478,143130
482.sphinx3,1162,0.111,344.37383821,2553963625070,3415809351991,2181470355889,730060044908,204283845
998.specrand,0.0,0.0,0.0,359726830,563238533,20100086,161459265,1510077
999.specrand,0.0,0.0,0.0,363863655,563244637,20104833,162383969,1512883
