benchmark,time,kwh,watts,cycles,instructions,r533f00,cache-references,cache-misses
401.bzip2,129,0.0123,343.666666667,288909727167,332741072137,6335,112519095704,6233860
403.gcc,27,0.0025,342.633333333,61521401887,56630277431,501086091,22630187889,108421481
410.bwaves,2076,0.1991,345.651445087,4574499851493,3925117148611,1605806333495,876986264444,88949873
416.gamess,964,0.0921,344.54626556,2123465587160,3704297363943,1364423737676,839924977772,479348272
429.mcf,1012,0.0966,344.389525692,2158353382500,315373636401,4534830,149430361454,37652975
433.milc,667,0.0644,348.453373313,1462237848934,1183627723283,865965309955,263000456300,29813196
434.zeusmp,940,0.0896,343.612553191,2063861469337,2014825657970,1562709948443,418907360637,46063380
435.gromacs,970,0.092,342.065051546,2139518932753,1960474932432,1573722706320,446072374537,76555197
436.cactusADM,1597,0.1523,343.820601127,3539029689702,2722514199323,2485644960756,730084532587,121607189
437.leslie3d,817,0.0793,350.043941248,1809282569607,2015072692234,1049536852230,411461817924,48877423
444.namd,743,0.0703,341.519784657,1634667091128,2429231520995,1799179102777,552793421849,27917013
445.gobmk,154,0.0147,343.286363636,340310015931,336129965295,1683824138,157542739039,179571290
450.soplex,340,0.0328,346.931470588,749449486019,406373286462,128760715710,135341797680,20962545
453.povray,374,0.0355,342.42540107,826947804850,994101077553,326937564173,305005295679,1002832991
454.calculix,2970,0.2827,343.17959596,6537697799535,7591418467027,3856349144983,1736130580812,410748782
456.hmmer,536,0.0512,344.104291045,1176506519246,2073591625526,16485262928,365646768140,41421929
458.sjeng,1020,0.097,342.703235294,2247706216442,2298077427973,9692156,1082206746586,106927620
459.GemsFDTD,1033,0.1001,349.301548887,2251899439985,1875136697641,1139481823421,351550643911,46951166
462.libquantum,929,0.0904,350.90613563,2111406637434,2308717210407,4698599557,700903111665,34072621
464.h264ref,1031,0.0984,344.209020369,2224971779230,2494875587176,1582834231,555433347631,403320789
465.tonto,1794,0.1708,343.279654404,3944874660641,3819217639305,1662680044318,1020660714181,1670339894
470.lbm,695,0.0675,350.388345324,1524711803786,1221987504986,1135671469634,205336459745,26060219
471.omnetpp,552,0.0529,345.289311594,1230551310266,596128186499,58266844901,204177913062,1357647870
473.astar,489,0.0466,343.624130879,1068902555767,848588710338,129499840,427186632625,20481735
481.wrf,0.0,0.0,0.0,708475171,889149549,79197453,213985444,120293
482.sphinx3,1394,0.1331,344.193185079,3078494412866,3168506508132,2416707008385,848771004123,188397240
998.specrand,0.0,0.0,0.0,375854213,559962361,20070161,159132559,1494319
999.specrand,0.0,0.0,0.0,377370545,559940561,20077091,161747099,1531183
