benchmark,time,kwh,watts,cycles,instructions,r533f00,cache-references,cache-misses
sleep2,1,0.0001,340.4,1229343,739663,1121,218008,8531
sleep5,4,0.0004,340.675,948810,613169,950,214181,8561
sleep10,9,0.0009,340.8,896840,540726,1051,204916,8493
sleep30,29,0.0026,325.272413793,1032571,612296,1004,213248,8588
sleep60,59,0.0053,323.057627119,1022488,589559,1011,216700,8495
400.perlbench,172,0.0164,343.927325581,363205546396,673460255215,198103220,168940598894,448530688
401.bzip2,127,0.0121,341.48503937,280624033346,319812916322,268031,105223223290,6408514
403.gcc,24,0.0023,341.170833333,55270414187,52882913988,501470091,19001587893,137057463
410.bwaves,1930,0.1848,345.140725389,4237316105602,3340156118640,1608974718204,785753595114,86869305
416.gamess,259,0.0247,344.312741313,568989187150,1047126415135,404543004871,212818566730,122987990
429.mcf,996,0.0951,344.20060241,2117183253301,303695508258,4429256,122279702747,42132139
433.milc,616,0.0595,348.169967532,1361085107228,1181353371826,850005142260,211799352223,29960505
434.zeusmp,881,0.0839,343.000908059,1942840268672,1805419511735,1596582662098,407497075587,46809057
435.gromacs,859,0.0813,341.240861467,1891264738863,2160419213985,1734939474915,416863263346,60722123
436.cactusADM,1426,0.1357,343.065287518,3133609562731,2730087227455,2830219681072,649952731741,99446625
437.leslie3d,717,0.0693,348.251324965,1569704929576,1551526352154,1059334560787,321208209593,42223855
444.namd,708,0.0671,341.838700565,1556051397196,2257288024298,1682197205095,466800570445,30132681
445.gobmk,136,0.0129,341.908088235,299407520238,323819168201,1723948132,144389853031,639965759
450.soplex,302,0.0289,345.098675497,643362986038,358494728333,128977762038,102926641824,17581665
453.povray,324,0.0309,343.569135802,713862677233,945909381078,347548355646,279604811656,1312346898
454.calculix,1423,0.1354,342.999508082,3130626046436,6166081367888,3715717501412,1344503685294,201472325
456.hmmer,416,0.0398,345.001201923,915193135250,1878847157364,17603610038,284255339691,30323193
458.sjeng,906,0.0861,342.556622517,1996773046731,2200085290815,1221094,981587003984,455529921
459.GemsFDTD,882,0.0854,349.20521542,1925374860097,1566606447376,1173916753733,280276041570,43114955
462.libquantum,972,0.0941,348.936419753,2096058789720,1856427541448,4331708084,643820893885,35091747
464.h264ref,939,0.0895,343.535463259,2056952424155,2426423692805,1438263416,512591933779,562704357
465.tonto,1571,0.1489,341.581667728,3471179796415,3147373470456,1734083749913,806146473044,1584069489
470.lbm,816,0.079,348.779901961,1797592416770,1261010132344,1219123374595,207620646064,29699997
471.omnetpp,542,0.0518,344.322693727,1156254727500,588222734645,60116420268,201985211961,2200652189
473.astar,423,0.0401,341.430023641,934367239164,815560161952,133140874,361211047283,20556701
481.wrf,0.0,0.0,0.0,593370968,711694385,107167259,154949631,161652
482.sphinx3,1181,0.1107,337.783149873,2595951183221,3349740098022,2190608682991,770495377859,202291716
998.specrand,0.0,0.0,0.0,350025649,563269510,20079782,161604673,1484586
999.specrand,0.0,0.0,0.0,362873259,563235015,20069938,161784725,1479227
sleep2,1,0.0001,322.9,902411,565453,985,218977,8650
sleep5,4,0.0004,325.625,987074,547851,976,217619,8631
sleep10,9,0.0008,324.255555556,992621,568921,982,220064,8671
sleep30,29,0.0026,322.510344828,956787,607771,990,217671,8658
sleep60,59,0.0052,321.025423729,861286,564920,956,244956,9362
400.perlbench,166,0.0157,341.186746988,367006444084,673976685715,196928691,169210137052,414778257
401.bzip2,127,0.0121,341.739370079,282808965324,319813554276,278532,105298290454,6361195
