benchmark,time,kwh,watts,cycles,instructions,r532010,r538010,cache-references,cache-misses
blackscholes,138,0.0027,72.1043478261,519163870105,697040178107,58816269218,108269665298,63410578,34425497
bodytrack,131,0.0026,72.2748091603,463890189490,818680436666,236972322026,11377609599,954738328,20897521
canneal,212,0.0042,72.1504716981,790509724098,382647976138,0,7224757729,5139100047,3295664361
ferret,278,0.006,79.5895683453,1336068467912,1787817677888,106611872315,70131051231,3326194300,1751477480
fluidanimate,269,0.0056,75.6609665428,1007437072412,1687656390079,495941639629,11,2380521557,1308006239
freqmine,379,0.0079,76.0,1428535792071,2548902315998,0,39,676565224,235402997
netstreamcluster,375,0.0087,84.0893333333,1399006359953,1087037573901,670703272371,1731287050,18872556405,16853341041
streamcluster,369,0.0075,74.2726287263,1377116891160,1037979827147,668975807703,1754260555,18565648280,16748053368
swaptions,208,0.0043,75.4956730769,779760315544,1420657653757,799790,293279818560,6982907,52854
x264,105,0.0022,76.2885714286,415824481477,629073312366,17384333,10559,3232529048,471050051
400.perlbench.w0,158,0.0033,76.5284810127,589886226823,1069811265412,0,9930439,2445342341,314847058
400.perlbench.w1,52,0.0011,78.0038461538,196729166838,371416356844,0,2270910,996587796,22212417
400.perlbench.w2,77,0.0016,77.3454545455,288433592103,668944430406,0,14666722,806844492,206749575
401.bzip2.w3,84,0.0017,75.4511904762,317197147176,543320565077,0,12,1782298057,40307499
401.bzip2.w2,41,0.0008,76.2390243902,157386078202,298334118629,0,0,4047009758,61539677
401.bzip2.w1,25,0.0005,74.884,96461780504,178556807608,0,0,1461587957,44808682
401.bzip2.w0,80,0.0016,75.9375,299811115543,414342692520,0,0,2695173577,32764711
401.bzip2.w5,61,0.0012,75.7344262295,231663475566,332286355704,0,0,2277867511,28765700
401.bzip2.w4,93,0.0019,76.0,351356144568,623832987046,0,0,3705692867,33683314
403.gcc.w8,11,0.0002,75.3909090909,44132902213,56368030819,19,648620,345017342,43316991
403.gcc.w5,31,0.0006,75.8677419355,119605660822,150939996788,131,739179,3891624323,271746882
403.gcc.w4,22,0.0004,76.05,84991990552,111066373599,19,473610,2911453611,189113186
403.gcc.w7,43,0.0009,77.8744186047,162097339613,166353061386,21,678668,2530369948,609420737
403.gcc.w6,44,0.0009,77.4159090909,167797635142,178953048690,3,452596,4016530213,755409909
403.gcc.w1,32,0.0006,75.259375,119656226257,146763751055,187,946427,1301358898,218400031
403.gcc.w0,20,0.0004,75.235,75021294885,76152751991,29,564902,1656146519,320434531
403.gcc.w3,18,0.0003,75.5,72392555542,100743971098,19,450338,2156770888,117966916
403.gcc.w2,28,0.0005,75.5392857143,107067641725,134435563339,261,1409037,4001312342,178120945
410.bwaves.w0,457,0.0102,81.4455142232,1716472353121,3441264789424,0,890140109995,20283049153,1931398126
416.gamess.w1,89,0.0019,78.1011235955,336724734059,829649230652,0,169309113006,252225247,321165
416.gamess.w0,132,0.0028,77.1113636364,498837557065,1064137044743,5,207809540374,204600818,277532
416.gamess.w2,386,0.0082,77.6556994819,1439930051779,3473502166394,1,781411414185,1066627163,3118475
429.mcf.w0,337,0.007,75.6795252226,1261096467234,312656429902,0,27,31976985012,12675548415
433.milc.w0,378,0.0082,78.9238095238,1401829865655,1162483321285,0,447619008979,22773673723,19070427201
434.zeusmp.w0,387,0.0081,75.8958656331,1444010342386,1809030842497,185726,771284965418,7870570414,4050958279
435.gromacs.w0,403,0.008,72.6111662531,1519180391515,1964405582216,859682883335,6812054577,3541074376,37630595
436.cactusADM.w0,661,0.0142,78.3030257186,2490611931858,2717086010734,0,1675582877661,9429135640,4019813443
437.leslie3d.w0,336,0.0074,80.8517857143,1256592296880,1534421942631,0,632360421409,15387447546,2576810059
444.namd.w0,338,0.007,75.2656804734,1281193661167,2284639995206,27,923241658234,310114153,25604012
445.gobmk.w4,71,0.0015,76.5929577465,271595730764,336828882319,122530901,33466082,447078387,46295511
445.gobmk.w2,67,0.0014,76.8313432836,254775381349,321155343916,266342353,96274143,826633702,91951804
445.gobmk.w3,53,0.0011,76.3358490566,201184191960,234443924245,46083855,15880609,482016891,45051749
445.gobmk.w0,53,0.0011,76.2132075472,201706006747,233303706167,35937976,12293747,602400915,46485330
445.gobmk.w1,138,0.0029,76.4630434783,515902936424,620991425038,201534268,54875695,1101184797,120023728
